"uid","url","proxy_used","oman_block_social?","oman_block_laws?","india_block?"
"81","http://www.submitlink.khatana.net/2010/09/jennifer-stano-is-engaged-to.html",,,,
"82","http://www.zone-h.org","http://OMAN_PROXY1:8080",,,
"83","http://www.zone-h.org","http://OMAN_PROXY2:80",,,
"84","http://www.zone-h.org",,,,
"85","http://imagessearchyahoo.com","http://OMAN_PROXY1:8080",,,"yes"
"86","http://imagessearchyahoo.com","http://OMAN_PROXY2:80",,,"yes"
"87","http://imagessearchyahoo.com",,,,
"88","http://imamali8.com","http://OMAN_PROXY1:8080",,,"yes"
"89","http://imamali8.com","http://OMAN_PROXY2:80",,,"yes"
"90","http://imamali8.com",,,,
"91","http://rahulyadav.com","http://OMAN_PROXY1:8080",,,
"92","http://rahulyadav.com","http://OMAN_PROXY2:80",,,
"93","http://rahulyadav.com",,,,
"94","http://hinduhumanrights.org","http://OMAN_PROXY1:8080",,,
"95","http://hinduhumanrights.org","http://OMAN_PROXY2:80",,,
"96","http://hinduhumanrights.org",,,,
"97","http://nndh.com","http://OMAN_PROXY1:8080",,"yes",
"98","http://nndh.com","http://OMAN_PROXY2:80",,"yes",
"99","http://nndh.com",,,,
"100","http://bloodrovaltriped.com","http://OMAN_PROXY1:8080",,,
"101","http://bloodrovaltriped.com","http://OMAN_PROXY2:80",,,
"102","http://bloodrovaltriped.com",,,,
"103","http://merrimusings.typepad.com","http://OMAN_PROXY1:8080",,,"yes"
"104","http://merrimusings.typepad.com","http://OMAN_PROXY2:80",,,"yes"
"105","http://merrimusings.typepad.com",,,,
"106","http://thepiratescove.us","http://OMAN_PROXY1:8080",,,
"107","http://thepiratescove.us","http://OMAN_PROXY2:80",,,
"108","http://thepiratescove.us",,,,
"109","http://smeisp.cn","http://OMAN_PROXY1:8080",,,
"110","http://smeisp.cn","http://OMAN_PROXY2:80",,,
"111","http://smeisp.cn",,,,
"112","http://mobango.com","http://OMAN_PROXY1:8080",,,
"113","http://mobango.com","http://OMAN_PROXY2:80",,,
"114","http://mobango.com",,,,
